0.328783681934441,0.745869699844776,-0.0383627191129009,-0.0499407465478144,-0.184371133831936,-0.193258218202066
0.372934849922397,2.38295815760234e-17,-0.0203882244026349,-3.84198943803884e-32,-0.136654196610711,-0.113018091615651
3.57148472276966e-17,1.39356238444966e-17,-3.87479489590776e-17,-1.22517839577538e-32,-0.0799158589781898,-0.0660933809246259
-3.29109499424452e-17,8.14960226287404e-18,3.02279395894211e-17,-9.08868492301369e-33,-0.046735077843349,-0.0386516436404132
-2.92072751981106e-18,4.7659163152047e-18,2.6194843211773e-18,-1.58635370743093e-33,-0.0273308393221424,-0.0226036183231302
-1.7080518152828e-18,2.78712476889933e-18,1.53188372401858e-18,-9.27705275921555e-34,-0.015983171795638,-0.0132186761849252
-9.9887476113472e-19,1.62992045257481e-18,8.95851036381981e-19,-5.42525336525658e-34,-0.00934701556866982,-0.00773032872808264
-5.84145503962212e-19,9.53183263040939e-19,5.23896864235458e-19,-3.17270741486185e-34,-0.00546616786442847,-0.00452072366462603
-3.4161036305656e-19,5.57424953779865e-19,3.06376744803715e-19,-1.85541055184311e-34,-0.0031966343591276,-0.00264373523698504
-1.99774952226944e-19,3.25984090514962e-19,1.79170207276396e-19,-1.08505067305131e-34,-0.00186940311373396,-0.00154606574561653
-1.16829100792442e-19,1.90636652608188e-19,1.04779372847092e-19,-6.34541482972371e-35,-0.00109323357288569,-0.000904144732925205
-6.8322072611312e-20,1.11484990755973e-19,6.12753489607431e-20,-3.71082110368622e-35,-0.000639326871825519,-0.000528747047397007
-3.99549904453888e-20,6.51968181029924e-20,3.58340414552792e-20,-2.17010134610263e-35,-0.000373880622746792,-0.000309213149123305
-2.33658201584885e-20,3.81273305216375e-20,2.09558745694183e-20,-1.26908296594474e-35,-0.000218646714577139,-0.000180828946585041
-1.36644145222624e-20,2.22969981511946e-20,1.22550697921486e-20,-7.42164220737243e-36,-0.000127865374365104,-0.000105749409479401
